Year,Food Grains (Cereals) - Rice (000 tonnes),Food Grains (Cereals) - Jowar (000 tonnes),Food Grains (Cereals) - Bajra (000 tonnes),Food Grains (Cereals) - Maize (000 tonnes),Food Grains (Cereals) - Ragi (000 tonnes),Food Grains (Cereals) - Small Millets (000 tonnes),Food Grains (Cereals) - Wheat (000 tonnes),Food Grains (Cereals) - Barley (000 tonnes),Food Grains (Cereals) - Total (000 tonnes),Food Grains (Pulses) - Gram (000 tonnes),Food Grains (Pulses) - Tur (000 tonnes),Food Grains (Pulses) - Other Pulses (000 tonnes),Food Grains (Pulses) - Total (000 tonnes),Food Grains - Total (000 tonnes),Oilseeds - Ground-nuts (000 tonnes),Oilseeds - Sesamum (000 tonnes),Oilseeds - Rapeseed and Mustard (000 tonnes),Oilseeds - Linseed (000 tonnes),Oilseeds - Castor seed (000 tonnes),Total Nine Oilseeds (000 tonnes),Cotton (000 Bales),Jute (000 Bales),Mesta (000 Bales),Tea (Million kgs),Coffee (000 MT),Natural Rubber (000 MT),Banana (000 tonnes),Sugarcane (000 tonnes),Tobacco (000 tonnes),Potatoes (000 tonnes),Black Pepper (000 tonnes),Chillies (000 tonnes),Ginger (000 tonnes),Coconut (000 tonnes),Turmeric (000 tonnes)
2001-02,93340,7557,8284,13160,2375,577,72766,1425,199483,5473,2260,5635,13368,212851,7028,698,5083,209,653,20662,9997,10584,1094,854,301,631,13160,297208,546,23924,62,1069,322,12963,563
2002-03,71820,7012,4719,11152,1316,459,65761,1407,163646,4237,2186,4702,11125,174771,4121,441,3880,177,428,14838,8624,10274,1002,846,275,649,11975,287383,500,23269,72,895,280,12535,522
2003-04,88526,6681,12109,14984,1966,564,72156,1298,198284,5718,2356,6831,14905,213189,8127,782,6291,197,797,25186,13729,10252,921,879,271,712,11388,233862,550,23060,73,1236,302,12178,565
2004-05,83132,7244,7931,14172,2432,478,68637,1207,185233,5469,2347,5314,13130,198363,6774,674,7593,170,793,24354,16429,9399,873,907,276,750,11710,237088,549,23631,73,1186,359,12833,718
2005-06,91793,7630,7684,14710,2354,472,69355,1221,195217,5600,2738,5046,13384,208602,7993,641,8131,173,991,27978,18499,9970,870,949,274,803,12105,281172,552,23905,93,1015,391,14811,852
2006-07,93355,7151,8424,15097,1444,480,75807,1328,203085,6334,2314,5550,14198,217282,4864,618,7438,168,762,24289,22632,10317,956,973,288,853,16609,355520,469,22181,69,1242,393,15840,787
2007-08,96693,7926,9970,18955,2152,551,78570,1196,216014,5749,3076,5937,14762,230775,9183,757,5834,163,1054,29755,25884,10220,990,987,262,825,23823,348188,437,34658,50,1371,775,10148,884
2008-09,99172,7246,8887,19731,2040,445,80679,1689,219889,7060,2266,5240,14566,234456,7168,640,7201,169,1171,27719,22276,9634,731,973,262,865,26217,285029,569,34391,50,1382,832,10148,895
2009-10,89083,6698,6506,16720,1889,382,80804,1355,203435,7476,2465,4720,14662,218098,5428,588,6608,154,1009,24882,24022,11230,587,991,290,831,26470,292302,665,36577,50,1470,708,10824,928
2010-11,95970,7003,10370,21726,2194,442,86874,1663,226241,8221,2861,7159,18241,244482,8266,893,8179,147,1350,32477,33000,10009,611,967,302,862,29780,342382,802,42339,52,1223,702,10840,993
2011-12,105301,5979,10276,21759,1929,452,94882,1619,242197,7702,2654,6733,17089,259286,6964,810,6604,153,2295,29799,35200,10736,663,1095,314,904,28455,361037,752,41483,41,1276,756,14940,1167
2012-13,105241,5282,8742,22258,1574,436,93506,1752,238792,8833,3023,6486,18342,257135,4694,685,8029,149,1964,30940,34220,10340,590,1135,318,914,26509,341200,657,45344,53,1304,683,15609,971
2013-14,106646,5542,9250,24259,1983,430,95850,1831,245790,9526,3174,6555,19255,265045,9714,715,7877,142,1727,32749,35902,11083,607,1209,305,774.03,29725,352142,778,41555,51,1492,655,14911,1190
2014-15,105482,5445,9184,24173,2061,386,86527,1613,234871,7332,2807,7013,17152,252023,7402,828,6282,155,1870,27511,34805,10618,508,1197,327,NA,28137,362333,NA,45951,55,1453,704,14154,852
2015-16,104320,4410,8060,21810,1790,370,93500,1510,235760,7170,2460,6840,16470,252220,6771,866,6821,132,1650,25304,30147,9938,528,1233.14,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-17 (A.E),93880,2420,8550,19300,1850,340,NA,NA,126330,NA,4290,4410,8700,135030,6498,675,NA,NA,1731,23363,32123,9905,501,,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
